id,hash,project_key,project_name,title,floor,total_floors,area,facing,possession,price,price_raw,source,link,first_seen,last_seen,status
1,fd5619b2,sobha-windsor,Sobha Windsor,3 BHK Flat for Sale in Whitefield Bangalore,0,18,1611,N/A,Dec 2025,₹2.26 Cr,22599999,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1551-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423836303737393037,2026-08-20,2026-08-25,active
2,28c5c675,sobha-windsor,Sobha Windsor,3 BHK Flat for Sale in Whitefield Bangalore,0,18,1611,N/A,Dec 2025,₹2.30 Cr,23000000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1574-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423836303737393031,2026-08-20,2026-08-25,active
3,f8c34716,sobha-windsor,Sobha Windsor,"3 BHK Flat for Sale in Immadihalli, Whitefield Bangalore",0,18,2150,N/A,Dec 2025,₹2.37 Cr,23700000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1628-Sq-ft-Multistorey-Apartment-FOR-Sale-Immadihalli-in-Bangalore&id=4d423835353535343837,2026-08-13,2026-08-25,active
4,094ad779,sobha-windsor,Sobha Windsor,"2 BHK Flat In Sobha Windsor, Whitefield For Sale  In Sobha Windsor",0,11,1611,East,Jul 2026,₹ 2.5 Crores,25000000,NoBroker,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-sobha-windsor-bangalore/8aa99c319d47f5c7019d4867f1053815/detail,2026-08-08,2026-08-25,active
5,70d859b0,sobha-windsor,Sobha Windsor,3 BHK Flat for Sale in Whitefield Bangalore,0,18,1611,N/A,Dec 2025,₹2.64 Cr,26400000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1811-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423836303737393035,2026-08-20,2026-08-25,active
6,7bb2ca7f,sobha-windsor,Sobha Windsor,3 BHK Flat for Sale in Whitefield Bangalore,0,18,1915,N/A,Dec 2025,₹2.65 Cr,26500000,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1817-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423835393231393937,2026-08-14,2026-08-23,active
7,6838c429,sobha-windsor,Sobha Windsor,3 BHK Flat In Sobha Windsor For Sale  In Whitefield,0,17,2150,East,Oct 2025,₹ 2.8 Crores,28000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-whitefield-bangalore/8aa9b96e9bdbee76019bdc70131a1e87/detail,2026-08-08,2026-08-25,active
8,e34fc57f,sobha-windsor,Sobha Windsor,3 BHK Flat In Sobha Windsor For Sale  In Whitefield,0,17,2150,North,May 2027,₹ 2.8 Crores,28000000,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-whitefield-bangalore/8a9fa98377ce5b830177cefb4ab44bfe/detail,2026-08-08,2026-08-25,active
9,a02e0881,sobha-windsor,Sobha Windsor,4 BHK Flat for Sale in Whitefield Bangalore,0,18,2481,N/A,Dec 2025,₹2.96 Cr,29600000,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-2027-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423836303737393133,2026-08-20,2026-08-25,active
10,f87a7022,sobha-windsor,Sobha Windsor,4 BHK Flat for Sale in Whitefield Bangalore,0,18,2481,N/A,Dec 2025,₹3.22 Cr,32200000,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-2207-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423836303737383939,2026-08-20,2026-08-25,active
